tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 4  Iterations: 10000000    Time: 1237547
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 5  Iterations: 10000000    Time: 1133113
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 6  Iterations: 10000000    Time: 1415135
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 1  Iterations: 10000000    Time: 1769627
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 2  Iterations: 10000000    Time: 1476142
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 3  Iterations: 10000000    Time: 1440771
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 4  Iterations: 10000000    Time: 1425540
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 5  Iterations: 10000000    Time: 1432887
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 6  Iterations: 10000000    Time: 1427001
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 1  Iterations: 10000000    Time: 1903960
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 2  Iterations: 10000000    Time: 1600961
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 3  Iterations: 10000000    Time: 1481302
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 4  Iterations: 10000000    Time: 1382812
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 5  Iterations: 10000000    Time: 1684811
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 6  Iterations: 10000000    Time: 1419323
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 1  Iterations: 10000000    Time: 2147331
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 2  Iterations: 10000000    Time: 1831019
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 3  Iterations: 10000000    Time: 1842440
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 4  Iterations: 10000000    Time: 1701875
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 5  Iterations: 10000000    Time: 2064610
Size (BYTEs): 56 Size (DIGITs): 14      Register block size: 6  Iterations: 10000000    Time: 1750392
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 1  Iterations: 10000000    Time: 2483912
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 2  Iterations: 10000000    Time: 2087480
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 3  Iterations: 10000000    Time: 2036925
